         4167146 function calls (4034230 primitive calls) in 36.370 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     2652    0.013    0.000    0.043    0.000 internals.py:2767(<genexpr>)
     1711    0.013    0.000    0.021    0.000 base.py:492(values)
     1464    0.013    0.000    0.080    0.000 common.py:67(is_datetimetz)
      230    0.012    0.000    0.012    0.000 {pandas.lib.maybe_convert_objects}
     2500    0.012    0.000    0.012    0.000 GYPSYNonSpatial.py:1423(GrossTotalVolume_Sb)
     1054    0.011    0.000    0.043    0.000 common.py:79(is_datetime64_dtype)
     2500    0.011    0.000    0.011    0.000 GYPSYNonSpatial.py:405(SCestimate)
      460    0.011    0.000    0.044    0.000 internals.py:4008(__init__)
      140    0.011    0.000    0.251    0.002 internals.py:3725(insert)
      912    0.011    0.000    0.021    0.000 internals.py:217(mgr_locs)
       10    0.010    0.001    0.743    0.074 GYPSYNonSpatial.py:1127(BAfactorFinder_Sw)
      144    0.009    0.000    0.107    0.001 internals.py:4802(get_empty_dtype_and_na)
      540    0.009    0.000    0.020    0.000 base.py:1362(__contains__)
     2850    0.009    0.000    0.009    0.000 {max}
      974    0.009    0.000    0.037    0.000 common.py:91(is_timedelta64_dtype)
      615    0.009    0.000    0.009    0.000 {method 'reduce' of 'numpy.ufunc' objects}
      176    0.009    0.000    0.031    0.000 {any}
      412    0.009    0.000    0.018    0.000 shape_base.py:61(atleast_2d)
      458    0.009    0.000    0.011    0.000 {pandas.lib.infer_dtype}
      580    0.008    0.000    0.019    0.000 {method 'get_loc' of 'pandas.index.IndexEngine' objects}
      410    0.008    0.000    0.017    0.000 base.py:334(_simple_new)
      148    0.008    0.000    0.060    0.000 algorithms.py:979(take_nd)
     1130    0.008    0.000    0.017    0.000 numeric.py:414(asarray)
     1931    0.008    0.000    0.008    0.000 {method 'view' of 'numpy.ndarray' objects}
     2314    0.008    0.000    0.008    0.000 internals.py:180(mgr_locs)
       10    0.008    0.001    0.029    0.003 {pandas.lib.fast_unique_multiple_list_gen}
      642    0.008    0.000    0.033    0.000 common.py:52(is_object_dtype)
     1150    0.008    0.000    0.022    0.000 base.py:874(_values)
      126    0.007    0.000    0.038    0.000 internals.py:4505(_merge_blocks)
      222    0.007    0.000    0.045    0.000 cast.py:227(_maybe_promote)
       40    0.007    0.000    0.093    0.002 internals.py:4247(form_blocks)
     2520    0.007    0.000    0.007    0.000 {method 'keys' of 'dict' objects}
      140    0.007    0.000    0.305    0.002 internals.py:3613(set)
      512    0.007    0.000    0.080    0.000 common.py:285(is_extension_type)
     1591    0.007    0.000    0.007    0.000 internals.py:298(dtype)
      205    0.007    0.000    0.011    0.000 _methods.py:40(_all)
      440    0.007    0.000    0.029    0.000 base.py:2074(get_loc)
      660    0.006    0.000    0.037    0.000 common.py:62(is_categorical)
      616    0.006    0.000    0.006    0.000 {numpy.core.multiarray.concatenate}
       67    0.006    0.000    0.014    0.000 internals.py:4435(_interleaved_dtype)
      972    0.006    0.000    0.010    0.000 numeric.py:484(asanyarray)
       40    0.006    0.000    0.082    0.002 merge.py:1334(__init__)
      337    0.006    0.000    0.101    0.000 generic.py:2785(_protect_consolidate)
      870    0.006    0.000    0.023    0.000 base.py:1275(<lambda>)
      458    0.006    0.000    0.018    0.000 dtypes.py:347(is_dtype)
      191    0.006    0.000    0.018    0.000 frame.py:484(shape)
      852    0.006    0.000    0.031    0.000 common.py:57(is_sparse)
      895    0.006    0.000    0.006    0.000 {numpy.core.multiarray.empty}
      510    0.006    0.000    0.057    0.000 series.py:2832(_try_cast)
       80    0.006    0.000   22.413    0.280 frame.py:4163(_apply_standard)
      700    0.006    0.000    0.008    0.000 series.py:320(name)
      550    0.005    0.000    0.047    0.000 common.py:168(is_datetime64_any_dtype)
      140    0.005    0.000    0.377    0.003 frame.py:2471(_set_item)
      120    0.005    0.000    0.380    0.003 frame.py:252(__init__)
      140    0.005    0.000    0.054    0.000 frame.py:2591(_sanitize_column)
      120    0.005    0.000    0.071    0.001 internals.py:2724(__init__)
      110    0.005    0.000    0.018    0.000 common.py:208(_default_index)
      150    0.005    0.000    0.023    0.000 internals.py:3542(iget)
      138    0.005    0.000    0.029    0.000 missing.py:120(_isnull_ndarraylike)
     1632    0.005    0.000    0.005    0.000 GYPSYNonSpatial.py:295(densitySb)
      280    0.005    0.000    0.019    0.000 function_base.py:4534(append)
      110    0.005    0.000    0.023    0.000 internals.py:4907(get_mgr_concatenation_plan)
      332    0.005    0.000    0.008    0.000 common.py:317(_get_dtype)
       50    0.005    0.000    0.015    0.000 internals.py:4408(_stack_arrays)
       40    0.005    0.000    0.040    0.001 frame.py:5670(_homogenize)
      470    0.005    0.000    0.023    0.000 common.py:276(is_bool_dtype)
      120    0.004    0.000    0.014    0.000 range.py:44(__new__)
      100    0.004    0.000    0.022    0.000 missing.py:245(array_equivalent)
       40    0.004    0.000    0.310    0.008 merge.py:1466(get_result)
      530    0.004    0.000    0.006    0.000 __init__.py:163(iteritems)
      174    0.004    0.000    0.047    0.000 internals.py:5113(is_null)
      190    0.004    0.000    0.010    0.000 internals.py:3234(_consolidate_check)
      120    0.004    0.000    0.086    0.001 frame.py:2033(__getitem__)
     1234    0.004    0.000    0.004    0.000 internals.py:2841(_get_items)
      288    0.004    0.000    0.039    0.000 missing.py:48(_isnull_new)
      150    0.004    0.000    0.044    0.000 internals.py:3513(get)
      120    0.004    0.000    0.021    0.000 internals.py:2945(_verify_integrity)
      128    0.004    0.000    0.008    0.000 numeric.py:607(require)
      300    0.004    0.000    0.014    0.000 range.py:286(equals)
      140    0.004    0.000    0.201    0.001 base.py:3188(insert)
      640    0.004    0.000    0.006    0.000 internals.py:112(_consolidate_key)
       50    0.004    0.000    0.004    0.000 {pandas.lib.clean_index_list}
      184    0.004    0.000    0.006    0.000 internals.py:4986(combine_concat_plans)
      108    0.004    0.000    0.012    0.000 cast.py:672(_possibly_infer_to_datetimelike)
      280    0.004    0.000    0.009    0.000 fromnumeric.py:1383(ravel)
      618    0.004    0.000    0.004    0.000 dtypes.py:132(construct_from_string)
       10    0.004    0.000    0.089    0.009 frame.py:5616(_list_of_dict_to_arrays)
      580    0.004    0.000    0.004    0.000 generic.py:114(__init__)
       40    0.004    0.000    0.278    0.007 internals.py:4779(concatenate_block_managers)
     1098    0.004    0.000    0.004    0.000 {pandas.lib.isscalar}
      300    0.004    0.000    0.005    0.000 base.py:576(_get_attributes_dict)
      640    0.004    0.000    0.010    0.000 internals.py:4494(<lambda>)
       81    0.004    0.000    0.067    0.001 internals.py:3368(as_matrix)
      292    0.004    0.000    0.019    0.000 internals.py:155(get_values)
      240    0.004    0.000    0.008    0.000 numeric.py:2576(seterr)
      130    0.004    0.000    0.044    0.000 base.py:1613(equals)
      450    0.004    0.000    0.004    0.000 {numpy.core.multiarray.arange}
       70    0.003    0.000    0.055    0.001 internals.py:4488(_consolidate)
      460    0.003    0.000    0.005    0.000 internals.py:302(ftype)
      140    0.003    0.000    0.010    0.000 indexing.py:1768(convert_to_index_sliceable)
      191    0.003    0.000    0.010    0.000 internals.py:2808(_is_single_block)
      140    0.003    0.000    0.392    0.003 frame.py:2403(__setitem__)
      120    0.003    0.000    0.007    0.000 range.py:124(_simple_new)
      144    0.003    0.000    0.208    0.001 internals.py:4882(concatenate_join_units)
      293    0.003    0.000    0.083    0.000 internals.py:3506(_consolidate_inplace)
       10    0.003    0.000   11.085    1.109 forward_simulation.py:91(get_factors_for_all_species)
      174    0.003    0.000    0.074    0.000 internals.py:5142(get_reindexed_values)
      510    0.003    0.000    0.003    0.000 cast.py:660(_possibly_castable)
       40    0.003    0.000    0.028    0.001 concat.py:24(get_dtype_kinds)
      380    0.003    0.000    0.004    0.000 base.py:1376(__getitem__)
      458    0.003    0.000    0.021    0.000 common.py:96(is_period_dtype)
       10    0.003    0.000    0.003    0.000 {pandas.lib.dicts_to_array}
       40    0.003    0.000    0.079    0.002 frame.py:404(_init_ndarray)
      250    0.003    0.000    0.005    0.000 internals.py:4124(dtype)
      410    0.003    0.000    0.011    0.000 {method 'any' of 'numpy.ndarray' objects}
       60    0.003    0.000    0.072    0.001 ops.py:689(wrapper)
      200    0.003    0.000    0.003    0.000 {pandas.lib.list_to_object_array}
       78    0.003    0.000    0.017    0.000 internals.py:4558(_vstack)
      220    0.003    0.000    0.006    0.000 common.py:151(is_integer_dtype)
       81    0.003    0.000    0.077    0.001 generic.py:2868(as_matrix)
       80    0.003    0.000   22.422    0.280 frame.py:4046(apply)
      174    0.003    0.000    0.027    0.000 internals.py:5100(dtype)
      280    0.003    0.000    0.005    0.000 internals.py:4148(external_values)
       11    0.003    0.000    0.052    0.005 frame.py:654(iterrows)
      205    0.003    0.000    0.013    0.000 {method 'all' of 'numpy.ndarray' objects}
      410    0.003    0.000    0.008    0.000 _methods.py:37(_any)
      618    0.003    0.000    0.003    0.000 {method 'ravel' of 'numpy.ndarray' objects}
      460    0.003    0.000    0.003    0.000 generic.py:2730(__getattr__)
      150    0.003    0.000    0.026    0.000 series.py:250(from_array)
      150    0.003    0.000    0.040    0.000 frame.py:2391(_box_item_values)
      174    0.003    0.000    0.006    0.000 internals.py:5091(needs_filling)
      210    0.003    0.000    0.006    0.000 base.py:1272(_engine)
      110    0.003    0.000    0.007    0.000 {sorted}
      140    0.002    0.000    0.309    0.002 generic.py:1499(_set_item)
      354    0.002    0.000    0.004    0.000 internals.py:2947(<genexpr>)
      150    0.002    0.000    0.075    0.001 base.py:379(_shallow_copy_with_infer)
       10    0.002    0.000    0.396    0.040 GYPSYNonSpatial.py:1255(BAfactorFinder_Pl)
      140    0.002    0.000    0.118    0.001 base.py:592(_coerce_scalar_to_index)
      238    0.002    0.000    0.015    0.000 common.py:104(is_string_dtype)
      260    0.002    0.000    0.008    0.000 {sum}
      140    0.002    0.000    0.013    0.000 frame.py:2595(reindexer)
       81    0.002    0.000    0.079    0.001 generic.py:2910(values)
      530    0.002    0.000    0.002    0.000 base.py:455(_reset_identity)
      200    0.002    0.000    0.024    0.000 frame.py:5641(convert)
      191    0.002    0.000    0.007    0.000 generic.py:2798(f)
      160    0.002    0.000    0.018    0.000 common.py:304(_coerce_to_dtype)
      220    0.002    0.000    0.005    0.000 common.py:266(is_float_dtype)
       50    0.002    0.000    0.029    0.001 internals.py:4376(_multi_blockify)
      410    0.002    0.000    0.002    0.000 {method 'fill' of 'numpy.ndarray' objects}
      230    0.002    0.000    0.008    0.000 internals.py:4411(_asarray_compat)
       10    0.002    0.000    0.002    0.000 forward_simulation.py:49(BA_zeroSb)
       10    0.002    0.000    0.005    0.001 base.py:2187(get_indexer)
      150    0.002    0.000    0.009    0.000 internals.py:209(make_block_same_class)
      240    0.002    0.000    0.003    0.000 numeric.py:2676(geterr)
       10    0.002    0.000    0.092    0.009 frame.py:5478(_to_arrays)
      280    0.002    0.000    0.006    0.000 series.py:351(values)
      288    0.002    0.000    0.041    0.000 missing.py:27(isnull)
      160    0.002    0.000    0.003    0.000 generic.py:340(_get_axis_name)
       30    0.002    0.000    0.008    0.000 frame.py:5392(extract_index)
      484    0.002    0.000    0.006    0.000 internals.py:3226(is_consolidated)
      250    0.002    0.000    0.003    0.000 range.py:60(_ensure_int)
      530    0.002    0.000    0.002    0.000 {built-in method __new__ of type object at 0x7fee0c563440}
       10    0.002    0.000    0.008    0.001 base.py:2466(reindex)
      138    0.002    0.000    0.019    0.000 common.py:248(needs_i8_conversion)
       40    0.002    0.000    0.007    0.000 range.py:375(union)
       60    0.002    0.000    0.012    0.000 ops.py:649(na_op)
       78    0.002    0.000    0.014    0.000 shape_base.py:180(vstack)
      126    0.002    0.000    0.003    0.000 internals.py:4532(_extend_blocks)
      530    0.002    0.000    0.002    0.000 {method 'iteritems' of 'dict' objects}
      180    0.002    0.000    0.002    0.000 {method 'copy' of 'numpy.ndarray' objects}
      160    0.002    0.000    0.005    0.000 generic.py:353(_get_axis)
      250    0.002    0.000    0.006    0.000 series.py:331(dtype)
       60    0.002    0.000    0.019    0.000 ops.py:673(safe_na_op)
      140    0.002    0.000    0.003    0.000 internals.py:5199(_fast_count_smallints)
      210    0.002    0.000    0.002    0.000 generic.py:1477(_clear_item_cache)
       40    0.002    0.000    0.002    0.000 frame.py:5444(_prep_ndarray)
      147    0.002    0.000    0.083    0.001 internals.py:3239(is_mixed_type)
      230    0.002    0.000    0.002    0.000 internals.py:4380(<lambda>)
       60    0.001    0.000    0.010    0.000 expressions.py:191(evaluate)
       30    0.001    0.000    0.003    0.000 api.py:105(_get_consensus_names)
      256    0.001    0.000    0.002    0.000 numeric.py:676(<genexpr>)
       10    0.001    0.000    0.013    0.001 series.py:598(__getitem__)
      480    0.001    0.000    0.001    0.000 {numpy.core.umath.geterrobj}
      150    0.001    0.000    0.027    0.000 frame.py:2398(_box_col_values)
       67    0.001    0.000    0.003    0.000 cast.py:867(_find_common_type)
      200    0.001    0.000    0.004    0.000 base.py:497(get_values)
      191    0.001    0.000    0.013    0.000 generic.py:2795(_consolidate_inplace)
      138    0.001    0.000    0.007    0.000 common.py:186(is_datetime_or_timedelta_dtype)
      150    0.001    0.000    0.002    0.000 generic.py:1395(_set_as_cached)
      430    0.001    0.000    0.001    0.000 numeric.py:137(is_all_dates)
       60    0.001    0.000    0.008    0.000 expressions.py:58(_evaluate_standard)
      108    0.001    0.000    0.002    0.000 dtypes.py:170(__new__)
      191    0.001    0.000    0.002    0.000 internals.py:3490(consolidate)
       80    0.001    0.000    0.003    0.000 base.py:1309(is_all_dates)
       40    0.001    0.000    0.026    0.001 internals.py:4213(create_block_manager_from_blocks)
       66    0.001    0.000    0.003    0.000 internals.py:3251(is_datelike_mixed_type)
      120    0.001    0.000    0.071    0.001 frame.py:2059(_getitem_column)
       10    0.001    0.000    0.002    0.000 {method 'get_indexer' of 'pandas.index.IndexEngine' objects}
       30    0.001    0.000    0.022    0.001 concat.py:99(_concat_compat)
      120    0.001    0.000    0.002    0.000 indexing.py:58(__init__)
       40    0.001    0.000    0.025    0.001 api.py:45(_union_indexes)
       30    0.001    0.000    0.117    0.004 frame.py:349(_init_dict)
       60    0.001    0.000    0.016    0.000 ops.py:312(get_op)
      207    0.001    0.000    0.002    0.000 {all}
        8    0.001    0.000    0.001    0.000 forward_simulation.py:39(BA_zeroAw)
      120    0.001    0.000    0.005    0.000 numeric.py:2967(__enter__)
      140    0.001    0.000    0.002    0.000 base.py:2972(_maybe_cast_indexer)
      148    0.001    0.000    0.002    0.000 algorithms.py:946(_get_take_nd_function)
       40    0.001    0.000    0.003    0.000 api.py:41(_get_distinct_indexes)
       60    0.001    0.000    0.001    0.000 {operator.add}
       40    0.001    0.000    0.166    0.004 frame.py:5372(_arrays_to_mgr)
      120    0.001    0.000    0.001    0.000 internals.py:5011(_next_or_none)
       60    0.001    0.000    0.003    0.000 common.py:136(_maybe_match_name)
      108    0.001    0.000    0.003    0.000 dtypes.py:221(construct_from_string)
       40    0.001    0.000    0.116    0.003 internals.py:4236(create_block_manager_from_arrays)
      150    0.001    0.000    0.001    0.000 api.py:42(<genexpr>)
      114    0.001    0.000    0.003    0.000 internals.py:2930(__len__)
       90    0.001    0.000    0.003    0.000 base.py:1067(is_unique)
      140    0.001    0.000    0.003    0.000 frame.py:2454(_ensure_valid_index)
       40    0.001    0.000    0.059    0.001 merge.py:1531(_get_new_axes)
       40    0.001    0.000    0.030    0.001 api.py:25(_get_combined_index)
       40    0.001    0.000    0.394    0.010 merge.py:1270(concat)
      100    0.001    0.000    0.001    0.000 {pandas.lib.array_equivalent_object}
      140    0.001    0.000    0.001    0.000 base.py:467(__array__)
      130    0.001    0.000    0.001    0.000 base.py:435(is_)
      260    0.001    0.000    0.001    0.000 base.py:482(dtype)
      140    0.001    0.000    0.003    0.000 frame.py:769(__len__)
       80    0.001    0.000    0.001    0.000 generic.py:327(_get_axis_number)
      120    0.001    0.000    0.005    0.000 numeric.py:2972(__exit__)
      280    0.001    0.000    0.001    0.000 {pandas.algos.ensure_object}
      240    0.001    0.000    0.001    0.000 {numpy.core.umath.seterrobj}
       30    0.001    0.000    0.003    0.000 cast.py:33(_possibly_convert_platform)
       60    0.001    0.000    0.021    0.000 ops.py:628(_construct_result)
       10    0.001    0.000    0.009    0.001 concat.py:392(_concat_index_asobject)
      210    0.001    0.000    0.001    0.000 {method 'clear' of 'dict' objects}
      120    0.001    0.000    0.001    0.000 numeric.py:2963(__init__)
      280    0.001    0.000    0.001    0.000 internals.py:145(external_values)
      306    0.001    0.000    0.001    0.000 {pandas.algos.ensure_int64}
       10    0.001    0.000    0.025    0.002 frame.py:5631(_convert_object_array)
       10    0.001    0.000    0.001    0.000 internals.py:4154(get_values)
      120    0.001    0.000    0.001    0.000 {setattr}
      110    0.001    0.000    0.007    0.000 generic.py:2803(consolidate)
       60    0.001    0.000    0.005    0.000 ops.py:607(_align_method_SERIES)
      234    0.001    0.000    0.001    0.000 internals.py:290(shape)
       10    0.001    0.000    0.002    0.000 forward_simulation.py:59(BA0_lower_BAT_Aw)
      150    0.001    0.000    0.001    0.000 internals.py:327(iget)
       67    0.001    0.000    0.001    0.000 cast.py:876(<genexpr>)
       40    0.001    0.000    0.027    0.001 merge.py:1567(_get_concat_axis)
       10    0.001    0.000    0.001    0.000 utils.py:26(_log_loop_progress)
       80    0.001    0.000    0.010    0.000 generic.py:131(_validate_dtype)
      214    0.001    0.000    0.001    0.000 {method 'values' of 'dict' objects}
       80    0.001    0.000    0.082    0.001 generic.py:2827(<lambda>)
      224    0.001    0.000    0.001    0.000 {method 'items' of 'dict' objects}
      220    0.001    0.000    0.001    0.000 {method 'add' of 'set' objects}
       36    0.001    0.000    0.001    0.000 {pandas.algos.take_2d_axis0_int64_int64}
       78    0.001    0.000    0.001    0.000 {method 'argsort' of 'numpy.ndarray' objects}
       38    0.001    0.000    0.001    0.000 {pandas.algos.take_2d_axis0_float64_float64}
       10    0.001    0.000    0.001    0.000 GYPSYNonSpatial.py:1071(BAfromZeroToDataSb)
      174    0.001    0.000    0.001    0.000 internals.py:5079(__init__)
       80    0.001    0.000    0.086    0.001 generic.py:2825(_is_mixed_type)
       10    0.001    0.000    0.002    0.000 series.py:389(get_values)
       78    0.001    0.000    0.001    0.000 fromnumeric.py:828(argsort)
       80    0.001    0.000    0.001    0.000 {pandas.lib.is_datetime_array}
       80    0.001    0.000    0.006    0.000 base.py:1301(inferred_type)
      150    0.001    0.000    0.001    0.000 {pandas.lib.checknull}
       40    0.001    0.000    0.003    0.000 generic.py:315(_from_axes)
      184    0.001    0.000    0.001    0.000 concat.py:92(<genexpr>)
      148    0.001    0.000    0.001    0.000 {min}
       20    0.001    0.000    0.001    0.000 {built-in method now}
      140    0.001    0.000    0.001    0.000 generic.py:1533(_check_setitem_copy)
       84    0.001    0.000    0.001    0.000 internals.py:4640(_get_blkno_placements)
       40    0.001    0.000    0.039    0.001 frame.py:421(_get_axes)
      114    0.001    0.000    0.001    0.000 {method 'add' of 'pandas.lib.BlockPlacement' objects}
       40    0.000    0.000    0.030    0.001 merge.py:1555(_get_comb_axis)
       66    0.000    0.000    0.003    0.000 generic.py:2837(<lambda>)
       40    0.000    0.000    0.001    0.000 api.py:87(_sanitize_and_check)
       90    0.000    0.000    0.002    0.000 merge.py:1602(<genexpr>)
      150    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
       36    0.000    0.000    0.000    0.000 {pandas.algos.take_2d_axis1_int64_float64}
       38    0.000    0.000    0.000    0.000 {pandas.algos.take_2d_axis1_float64_float64}
      128    0.000    0.000    0.000    0.000 {method 'upper' of 'str' objects}
      120    0.000    0.000    0.000    0.000 api.py:110(<genexpr>)
      132    0.000    0.000    0.000    0.000 internals.py:125(is_datelike)
       66    0.000    0.000    0.005    0.000 generic.py:2835(_is_datelike_mixed_type)
       50    0.000    0.000    0.001    0.000 range.py:162(_data)
       60    0.000    0.000    0.001    0.000 expressions.py:172(_bool_arith_check)
       40    0.000    0.000    0.002    0.000 concat.py:86(_get_frame_result_type)
       10    0.000    0.000    0.020    0.002 base.py:1410(append)
      120    0.000    0.000    0.000    0.000 range.py:151(_validate_dtype)
       50    0.000    0.000    0.001    0.000 internals.py:4417(_shape_compat)
      120    0.000    0.000    0.000    0.000 {next}
      108    0.000    0.000    0.000    0.000 {method 'search' of '_sre.SRE_Pattern' objects}
       80    0.000    0.000    0.000    0.000 frame.py:5046(_get_agg_axis)
       40    0.000    0.000    0.000    0.000 generic.py:144(_init_mgr)
      120    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
       60    0.000    0.000    0.000    0.000 concat.py:135(<genexpr>)
